Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,PETROL,98493,Automatic,973000,Bangalore
Renault Kwid 1.0 MARVEL IRON MAN EDITION AMT,Kwid 1.0 MARVEL IRON MAN EDITION AMT,Renault,2018,PETROL,19178,Automatic,407000,Bangalore
Hyundai Eon ERA PLUS (O),Eon ERA PLUS (O),Hyundai,2017,PETROL,33963,Manual,381000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2012,PETROL,64557,Manual,463000,Bangalore
Hyundai Creta SX 1.6 DIESEL,Creta SX 1.6 DIESEL,Hyundai,2019,DIESEL,43987,Manual,1150000,Bangalore
Renault Kwid CLIMBER AMT 1.0,Kwid CLIMBER AMT 1.0,Renault,2023,PETROL,3996,Automatic,631000,Bangalore
Maruti IGNIS ZETA 1.2,IGNIS ZETA 1.2,Maruti,2017,PETROL,47285,Manual,466000,Bangalore
Maruti IGNIS ZETA 1.2 AMT,IGNIS ZETA 1.2 AMT,Maruti,2017,PETROL,22456,Automatic,612000,Bangalore
Maruti Eeco 5 STR WITH A/C+HTR,Eeco 5 STR WITH A/C+HTR,Maruti,2019,PETROL,24968,Manual,473000,Bangalore
Hyundai NEW SANTRO MAGNA,NEW SANTRO MAGNA,Hyundai,2019,PETROL,33609,Manual,439000,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2016,PETROL,65484,Manual,318000,Bangalore
Maruti Vitara Brezza ZDI PLUS,Vitara Brezza ZDI PLUS,Maruti,2016,DIESEL,60503,Manual,795000,Bangalore
Maruti Celerio VXI,Celerio VXI,Maruti,2016,PETROL,29309,Manual,416000,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2014,PETROL,49599,Manual,300000,Bangalore
Maruti Alto K10 VXI,Alto K10 VXI,Maruti,2012,PETROL,71979,Manual,264000,Bangalore
Hyundai NEW I20 ASTA 1.0 TURBO IMT DUAL TONE,NEW I20 ASTA 1.0 TURBO IMT DUAL TONE,Hyundai,2021,PETROL,26797,Manual,1020000,Bangalore
Renault Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Renault,2021,PETROL,14078,Automatic,515000,Bangalore
Maruti Grand Vitara ALPHA SMART HYBRID ALLGRIP,Grand Vitara ALPHA SMART HYBRID ALLGRIP,Maruti,2022,PETROL,14358,Manual,1610000,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2018,PETROL,48905,Manual,346000,Bangalore
Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,Tata,2023,PETROL,7511,Automatic,964000,Bangalore
Renault Kwid CLIMBER 1.0 AMT,Kwid CLIMBER 1.0 AMT,Renault,2017,PETROL,89552,Automatic,320000,Bangalore
Mahindra XUV300 W6 1.2 PETROL,XUV300 W6 1.2 PETROL,Mahindra,2019,PETROL,42731,Manual,780000,Bangalore
KIA CARENS PREMIUM 1.4 PETROL 7 STR,CARENS PREMIUM 1.4 PETROL 7 STR,KIA,2022,PETROL,41209,Manual,1090000,Bangalore
Maruti Swift VDI,Swift VDI,Maruti,2013,DIESEL,96413,Manual,444000,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,PETROL,43448,Automatic,1120000,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2016,PETROL,97183,Automatic,873000,Bangalore
Renault Duster 85 PS RXS MT DIESEL,Duster 85 PS RXS MT DIESEL,Renault,2018,DIESEL,29137,Manual,906000,Bangalore
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2012,PETROL,99928,Manual,406000,Bangalore
Tata NEXON XZA PLUS (O) PETROL,NEXON XZA PLUS (O) PETROL,Tata,2020,PETROL,38575,Automatic,1030000,Bangalore
Maruti Baleno DELTA 1.2 AGS,Baleno DELTA 1.2 AGS,Maruti,2022,PETROL,43431,Automatic,739000,Bangalore
Hyundai i20 Active 1.4 SX,i20 Active 1.4 SX,Hyundai,2016,DIESEL,82644,Manual,599000,Bangalore
Hyundai Verna SX (O) 1.5 VTVT IVT,Verna SX (O) 1.5 VTVT IVT,Hyundai,2021,PETROL,26940,Automatic,1330000,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2018,PETROL,66956,Automatic,942000,Bangalore
